Date,Price,Open,High,Low,Vol.,Change %
7/17/2019,"2,984.40","3,005.10","3,005.30","2,984.20",,-0.65%
7/16/2019,"3,004.00","3,012.10","3,015.00","3,001.20",,-0.34%
7/15/2019,"3,014.30","3,017.80","3,017.80","3,008.80",,0.02%
7/12/2019,"3,013.80","3,003.40","3,013.90","3,001.90",,0.46%
7/11/2019,"2,999.90","2,999.60","3,002.30","2,988.80",,0.23%
7/10/2019,"2,993.10","2,989.30","3,003.00","2,984.60",,0.45%
7/9/2019,"2,979.60","2,965.50","2,981.90","2,963.40",,0.12%
7/8/2019,"2,975.90","2,979.80","2,980.80","2,970.10",,-0.48%
7/5/2019,"2,990.40","2,984.20","2,994.00","2,968.00",,-0.18%
7/3/2019,"2,995.80","2,978.10","2,995.80","2,978.00",,0.77%
7/2/2019,"2,973.00","2,964.70","2,973.20","2,955.90",,0.29%
7/1/2019,"2,964.30","2,971.40","2,977.90","2,952.20",,0.76%
6/28/2019,"2,941.80","2,932.90","2,944.00","2,929.10",,0.58%
6/27/2019,"2,924.90","2,919.70","2,929.30","2,918.60",,0.38%
6/26/2019,"2,913.80","2,926.10","2,932.60","2,913.00",,-0.12%
6/25/2019,"2,917.40","2,945.80","2,946.50","2,916.00",,-0.95%
6/24/2019,"2,945.30","2,951.40","2,954.90","2,944.10",,-0.18%
6/21/2019,"2,950.50","2,952.70","2,964.20","2,946.90",,-0.13%
6/20/2019,"2,954.20","2,949.60","2,958.10","2,931.50",,0.95%
6/19/2019,"2,926.50","2,920.60","2,931.70","2,911.40",,0.30%
6/18/2019,"2,917.80","2,906.70","2,930.80","2,905.40",,0.97%
6/17/2019,"2,889.70","2,889.80","2,897.30","2,887.30",,0.09%
6/14/2019,"2,887.00","2,886.80","2,894.40","2,879.60",,-0.16%
6/13/2019,"2,891.60","2,886.20","2,895.20","2,882.00",,0.41%
6/12/2019,"2,879.80","2,882.70","2,888.60","2,874.70",,-0.20%
6/11/2019,"2,885.70","2,903.30","2,910.60","2,878.50",,-0.03%
6/10/2019,"2,886.70","2,885.80","2,904.80","2,885.50",,0.47%
6/7/2019,"2,873.30","2,852.90","2,885.00","2,852.90",,1.05%
6/6/2019,"2,843.50","2,828.50","2,852.10","2,822.40",,0.61%
6/5/2019,"2,826.20","2,818.10","2,827.30","2,800.90",,0.82%
6/4/2019,"2,803.30","2,762.60","2,804.50","2,762.60",,2.15%
6/3/2019,"2,744.40","2,751.50","2,763.10","2,728.80",,-0.28%
5/31/2019,"2,752.10","2,766.20","2,769.00","2,750.50",,-1.32%
5/30/2019,"2,788.90","2,786.90","2,799.00","2,776.70",,0.21%
5/29/2019,"2,783.00","2,790.20","2,792.00","2,766.10",,-0.69%
5/28/2019,"2,802.40","2,830.00","2,840.50","2,801.60",,-0.84%
5/24/2019,"2,826.10","2,832.40","2,841.40","2,820.20",,0.14%
5/23/2019,"2,822.20","2,836.70","2,836.70","2,805.50",,-1.19%
5/22/2019,"2,856.30","2,856.10","2,865.50","2,851.10",,-0.28%
5/21/2019,"2,864.40","2,854.00","2,868.90","2,854.00",,0.85%
5/20/2019,"2,840.20","2,841.90","2,853.90","2,831.30",,-0.67%
5/17/2019,"2,859.50","2,858.60","2,885.50","2,854.20",,-0.58%
5/16/2019,"2,876.30","2,855.80","2,892.20","2,855.80",,0.89%
5/15/2019,"2,851.00","2,820.40","2,858.70","2,815.10",,0.59%
5/14/2019,"2,834.40","2,820.10","2,852.50","2,820.10",,0.80%
5/13/2019,"2,811.90","2,840.20","2,840.20","2,801.40",,-2.41%
5/10/2019,"2,881.40","2,863.10","2,891.30","2,825.40",,0.37%
5/9/2019,"2,870.70","2,859.80","2,876.00","2,836.40",,-0.30%
5/8/2019,"2,879.40","2,879.60","2,898.00","2,873.30",,-0.16%
5/7/2019,"2,884.10","2,913.00","2,913.00","2,862.60",,-1.65%
5/6/2019,"2,932.50","2,908.90","2,937.30","2,898.20",,-0.44%
5/3/2019,"2,945.60","2,929.20","2,947.80","2,929.20",,0.96%
5/2/2019,"2,917.50","2,922.20","2,931.70","2,900.50",,-0.21%
5/1/2019,"2,923.70","2,952.30","2,954.10","2,923.40",,-0.75%
4/30/2019,"2,945.80","2,937.10","2,948.20","2,924.10",,0.10%
4/29/2019,"2,943.00","2,940.60","2,949.50","2,939.30",,0.11%
4/26/2019,"2,939.90","2,925.80","2,939.90","2,917.60",,0.47%
4/25/2019,"2,926.20","2,929.00","2,933.10","2,912.80",,-0.03%
4/24/2019,"2,927.20","2,934.00","2,936.80","2,926.10",,-0.22%
4/23/2019,"2,933.70","2,910.00","2,936.30","2,908.50",,0.88%
4/22/2019,"2,908.00","2,898.80","2,909.50","2,896.30",,0.10%
4/18/2019,"2,905.00","2,904.80","2,908.40","2,891.90",,0.16%
4/17/2019,"2,900.40","2,916.00","2,918.00","2,895.40",,-0.23%
4/16/2019,"2,907.10","2,912.30","2,916.10","2,900.70",,0.05%
4/15/2019,"2,905.60","2,908.30","2,909.60","2,896.50",,-0.06%
4/12/2019,"2,907.40","2,900.90","2,910.50","2,898.40",,0.66%
4/11/2019,"2,888.30","2,891.90","2,893.40","2,882.00",,0.00%
4/10/2019,"2,888.20","2,881.40","2,889.70","2,879.10",,0.35%
4/9/2019,"2,878.20","2,886.60","2,886.90","2,873.30",,-0.61%
4/8/2019,"2,895.80","2,888.50","2,895.90","2,880.80",,0.11%
4/5/2019,"2,892.70","2,884.20","2,893.20","2,883.00",,0.46%
4/4/2019,"2,879.40","2,874.00","2,881.30","2,867.10",,0.21%
4/3/2019,"2,873.40","2,876.10","2,885.20","2,865.20",,0.22%
4/2/2019,"2,867.20","2,868.20","2,872.90","2,858.80",,0.00%
4/1/2019,"2,867.20","2,848.60","2,869.40","2,848.60",,1.16%
3/29/2019,"2,834.40","2,828.30","2,836.00","2,819.20",,0.67%
3/28/2019,"2,815.40","2,809.40","2,819.70","2,798.80",,0.36%
3/27/2019,"2,805.40","2,819.70","2,825.60","2,787.70",,-0.46%
3/26/2019,"2,818.50","2,812.70","2,829.90","2,804.00",,0.72%
3/25/2019,"2,798.40","2,796.00","2,809.80","2,785.00",,-0.08%
3/22/2019,"2,800.70","2,844.50","2,846.20","2,800.50",,-1.90%
3/21/2019,"2,854.90","2,819.70","2,860.30","2,817.40",,1.09%
3/20/2019,"2,824.20","2,831.30","2,843.50","2,812.40",,-0.30%
3/19/2019,"2,832.60","2,840.80","2,852.40","2,823.30",,-0.01%
3/18/2019,"2,832.90","2,822.60","2,835.40","2,822.00",,0.37%
3/15/2019,"2,822.50","2,810.80","2,830.70","2,810.80",,0.50%
3/14/2019,"2,808.50","2,810.40","2,815.00","2,803.50",,-0.09%
3/13/2019,"2,810.90","2,799.80","2,821.20","2,799.80",,0.69%
3/12/2019,"2,791.50","2,787.30","2,798.30","2,786.70",,0.29%
3/11/2019,"2,783.30","2,747.60","2,784.00","2,747.60",,1.47%
3/8/2019,"2,743.10","2,730.80","2,744.10","2,722.30",,-0.21%
3/7/2019,"2,748.90","2,766.50","2,767.20","2,739.10",,-0.81%
3/6/2019,"2,771.40","2,790.30","2,790.30","2,768.70",,-0.66%
3/5/2019,"2,789.70","2,794.40","2,796.40","2,783.00",,-0.11%
3/4/2019,"2,792.80","2,814.40","2,816.90","2,767.70",,-0.39%
3/1/2019,"2,803.70","2,798.20","2,808.00","2,787.40",,0.69%
2/28/2019,"2,784.50","2,788.10","2,793.70","2,782.50",,-0.28%
2/27/2019,"2,792.40","2,787.50","2,795.80","2,775.10",,-0.05%
2/26/2019,"2,793.90","2,792.40","2,803.10","2,789.50",,-0.08%
2/25/2019,"2,796.10","2,804.30","2,813.50","2,795.00",,0.12%
2/22/2019,"2,792.70","2,780.70","2,794.20","2,779.10",,0.64%
2/21/2019,"2,774.90","2,780.20","2,781.60","2,764.60",,-0.35%
2/20/2019,"2,784.70","2,779.10","2,789.90","2,774.10",,0.18%
2/19/2019,"2,779.80","2,769.30","2,787.30","2,767.30",,0.15%
2/15/2019,"2,775.60","2,760.20","2,775.70","2,760.20",,1.09%
2/14/2019,"2,745.70","2,743.50","2,757.90","2,731.20",,-0.27%
2/13/2019,"2,753.00","2,750.30","2,761.80","2,748.60",,0.30%
2/12/2019,"2,744.70","2,722.60","2,748.20","2,722.60",,1.29%
2/11/2019,"2,709.80","2,712.40","2,718.10","2,703.80",,0.07%
2/8/2019,"2,707.90","2,692.40","2,708.10","2,681.80",,0.07%
2/7/2019,"2,706.10","2,717.50","2,719.30","2,687.30",,-0.93%
2/6/2019,"2,731.60","2,735.10","2,738.10","2,724.20",,-0.22%
2/5/2019,"2,737.70","2,728.30","2,739.00","2,724.00",,0.47%
2/4/2019,"2,724.90","2,706.50","2,725.00","2,698.80",,0.68%
2/1/2019,"2,706.50","2,702.30","2,716.70","2,696.90",,0.09%
1/31/2019,"2,704.10","2,685.50","2,708.90","2,678.70",,0.86%
