Date,Price,Open,High,Low,Change %
12/26/1979,107.8,107.8,108.4,107.1,0.09%
12/27/1979,108.0,108.0,108.5,107.1,0.19%
12/28/1979,107.8,107.8,108.6,107.2,-0.19%
12/31/1979,107.9,107.9,108.5,107.3,0.09%
1/1/1980,107.9,107.9,107.9,107.9,0.00%
1/2/1980,105.8,105.8,108.4,105.3,-1.95%
1/3/1980,105.2,105.2,106.1,103.3,-0.57%
1/4/1980,106.5,106.5,107.1,105.1,1.24%
1/7/1980,106.8,106.8,107.8,105.8,0.28%
1/8/1980,108.9,108.9,109.3,106.3,1.97%
1/9/1980,109.1,109.1,111.1,108.4,0.18%
1/10/1980,109.9,109.9,110.9,108.5,0.73%
1/11/1980,109.9,109.9,111.2,108.9,0.00%
1/14/1980,110.4,110.4,111.4,109.3,0.45%
1/15/1980,111.1,111.1,111.9,109.4,0.63%
1/16/1980,111.1,111.1,112.9,110.4,0.00%
1/17/1980,110.7,110.7,112.0,109.8,-0.36%
1/18/1980,111.1,111.1,111.7,109.7,0.36%
1/21/1980,112.1,112.1,112.9,110.7,0.90%
1/22/1980,111.5,111.5,113.1,110.9,-0.54%
1/23/1980,113.4,113.4,113.9,110.9,1.70%
1/24/1980,113.7,113.7,115.3,112.9,0.26%
1/25/1980,113.6,113.6,114.4,112.4,-0.09%
1/28/1980,114.8,114.8,115.7,112.9,1.06%
1/29/1980,114.1,114.1,115.8,113.0,-0.61%
1/30/1980,115.2,115.2,115.8,113.4,0.96%
1/31/1980,114.2,114.2,117.2,113.8,-0.87%
2/1/1980,115.1,115.1,115.5,113.1,0.79%
2/4/1980,114.4,114.4,116.0,113.8,-0.61%
2/5/1980,114.7,114.7,115.2,112.2,0.26%
2/6/1980,115.7,115.7,116.6,113.7,0.87%
2/7/1980,116.3,116.3,117.9,115.2,0.52%
2/8/1980,117.9,117.9,118.7,115.7,1.38%
2/11/1980,117.1,117.1,119.1,116.3,-0.68%
2/12/1980,117.9,117.9,118.4,115.8,0.68%
2/13/1980,118.4,118.4,120.2,117.6,0.42%
2/14/1980,116.7,116.7,119.3,116.0,-1.44%
2/15/1980,115.4,115.4,116.7,114.1,-1.11%
2/18/1980,115.4,115.4,115.4,115.4,0.00%
2/19/1980,114.6,114.6,115.7,113.3,-0.69%
2/20/1980,116.5,116.5,117.2,114.1,1.66%
2/21/1980,115.3,115.3,117.9,114.4,-1.03%
2/22/1980,115.0,115.0,116.5,113.4,-0.26%
2/25/1980,113.3,113.3,114.9,112.6,-1.48%
2/26/1980,114.0,114.0,114.8,112.3,0.62%
2/27/1980,112.4,112.4,115.1,111.9,-1.40%
2/28/1980,112.3,112.3,113.7,111.3,-0.09%
2/29/1980,113.7,113.7,114.1,111.8,1.25%
3/3/1980,112.5,112.5,114.3,112.0,-1.06%
3/4/1980,112.8,112.8,113.4,110.8,0.27%
3/5/1980,111.1,111.1,113.9,110.6,-1.51%
3/6/1980,108.7,108.7,111.3,107.8,-2.16%
3/7/1980,106.9,106.9,109.0,106.0,-1.66%
