base_btc_allocation,buy_tiers,sell_tiers,median_value,mean_value,std_value,cagr,max_value,min_value,percentile_25,percentile_75,median_improvement,mean_improvement,cagr_improvement,sharpe_ratio,win_rate,beat_baseline_rate
20,"[(10, 30), (20, 40), (30, 50)]","[(30, 20), (50, 30), (70, 40)]",60620.828119182515,62174.45860621692,16467.33619277512,0.20609147993393417,121063.94905514682,27409.02186100238,49839.41536461769,73138.13381572967,10.784718978468154,4.059093307639091,2.0317151974377667,0.14727792524088523,64.60000000000001,64.60000000000001
20,"[(5, 15), (15, 25), (25, 35)]","[(20, 25), (40, 35), (60, 45)]",60178.51047978696,62061.157972564586,16934.591761668253,0.05943280609463919,174295.08451217297,31162.75264034902,50624.04639594104,70261.42288029652,9.976382357211236,3.8694662248571627,1.8850565235984718,0.13652377970497762,64.0,64.0
20,"[(10, 20), (20, 30), (30, 40)]","[(20, 25), (40, 35), (60, 45)]",59863.21000798757,61960.124961871115,16335.370467281226,-0.04563830208924591,158159.1280501408,28365.331945557376,50586.57492132204,70664.28619991223,9.400169935741186,3.7003710091916693,1.7799854154145867,0.1353468823249916,64.60000000000001,64.60000000000001
50,"[(10, 30), (20, 40), (30, 50)]","[(20, 15), (40, 25), (60, 35)]",59770.5561368511,63479.04742981091,28201.659779021284,-0.07659854460554394,350983.8390999884,24809.134559766877,44150.5038636094,74615.24068644475,9.23084474843196,6.242535402121537,1.7490251728982886,0.13225689415218853,56.99999999999999,56.99999999999999
30,"[(5, 15), (15, 25), (25, 35)]","[(15, 10), (30, 20), (45, 30)]",59690.110357513666,63821.52645294673,21077.668212745244,-0.10351061474571654,218894.29485141076,23578.016451239946,50541.62443868938,71611.37032399247,9.083829880219014,6.815729884603703,1.722113102758116,0.19320652143975806,62.6,62.6
30,"[(15, 25), (25, 35), (35, 45)]","[(20, 15), (40, 25), (60, 35)]",59688.70997309135,62521.07062851359,19732.72338356008,-0.10397935169249584,170472.20028148458,30398.071766415855,48139.1221967945,72228.39387352133,9.081270674092972,4.639205038054904,1.7216443658113367,0.14047159518397095,61.0,61.0
20,"[(10, 30), (20, 40), (30, 50)]","[(15, 10), (30, 20), (45, 30)]",59524.95300867648,62610.25343931024,18934.623836437007,-0.15885288079285909,143648.9443625561,27782.14896280013,49996.98886296798,71018.99605287213,8.782004401322812,4.7884670121543165,1.6667708367109735,0.15110254983273838,62.2,62.2
40,"[(5, 15), (15, 25), (25, 35)]","[(20, 15), (40, 25), (60, 35)]",59509.45704860671,64224.3417312159,23470.15830315489,-0.1640516939979575,186540.00708558934,27010.87489054523,48643.947519405745,73806.36059244521,8.75368549452306,7.489906927183737,1.661572023505875,0.1906743949448983,61.6,61.6
20,"[(15, 25), (25, 35), (35, 45)]","[(25, 30), (50, 50)]",59509.40631955482,62129.340837102056,17621.484999599357,-0.1640687151068021,201915.95260412595,30931.988870574307,50677.87794595883,70095.97607747465,8.753592787050533,3.983581365092212,1.6615550023970305,0.13507132569447527,64.60000000000001,64.60000000000001
20,"[(10, 30), (20, 40), (30, 50)]","[(20, 25), (40, 35), (60, 45)]",59507.576396324315,61530.40365621716,17846.50523301439,-0.1646827166516429,189648.46099257199,27130.41536283293,49332.412683102586,69945.6808284726,8.750248597650064,2.981162343064995,1.6609410008521897,0.09980778507946791,61.8,61.8
40,"[(20, 40), (40, 60)]","[(20, 25), (40, 35), (60, 45)]",59420.93328132416,61824.74148585285,23102.659427516213,-0.19377173554955274,267698.8504968454,22431.824449469037,46173.39269818568,71183.5965066535,8.591908082607288,3.4737846893569757,1.6318519819542798,0.0898406521060478,59.199999999999996,59.199999999999996
50,"[(10, 20), (20, 30), (30, 40)]","[(20, 25), (40, 35), (60, 45)]",59404.34999733835,63554.69437916838,23990.32440338431,-0.19934317218375242,173465.28427021048,24336.7144427273,48207.80801135419,73589.89486768973,8.56160208856022,6.369142905236008,1.6262805453200802,0.1586269038167186,59.4,59.4
80,"[(10, 20), (20, 30), (30, 40)]","[(25, 30), (50, 50)]",59403.600500459084,65584.26768633185,33188.96014259128,-0.1995950078097497,232713.22114278484,18371.599688002105,40221.196101267196,83410.37928157845,8.560232381089685,9.765964733350796,1.6260287096940829,0.1758140105553607,55.2,55.2
20,"[(20, 40), (40, 60)]","[(20, 15), (40, 25), (60, 35)]",59400.54061416084,62983.59202484055,20140.95376354578,-0.20062317506370775,195735.22094422366,27518.02647295523,49973.45145861033,71810.1078432801,8.554640431026076,5.413310003600264,1.6250005424401248,0.16058864765351016,62.4,62.4
40,"[(15, 25), (25, 35), (35, 45)]","[(15, 10), (30, 20), (45, 30)]",59288.71439390752,62258.38376435366,20752.42658114344,-0.2382275485525609,166320.14226709324,22359.36107038727,48980.46507105964,70209.6515219544,8.350277726497657,4.1995557428123735,1.5873961689512717,0.12091117426878498,61.0,61.0
30,"[(10, 30), (20, 40), (30, 50)]","[(20, 15), (40, 25), (60, 35)]",59236.12126926109,61917.192835655915,18973.371523467813,-0.25593292833753223,156203.06817801064,26433.418272115232,48886.1914607192,70446.99953761455,8.254163656219724,3.6285170963813016,1.5696907891663003,0.11426589815486844,59.0,59.0
20,"[(10, 20), (20, 30), (30, 40)]","[(25, 30), (50, 50)]",59158.44531385413,61976.61593105612,15582.815078997532,-0.2821054141538881,118397.88118499245,31494.659741840915,51325.43432338334,70058.843463988,8.112210648348793,3.7279713347855647,1.5435183033499444,0.14294159445923127,64.2,64.2
30,"[(5, 15), (15, 25), (25, 35)]","[(20, 15), (40, 25), (60, 35)]",59151.23336165883,62406.039179271145,20532.327059609248,-0.28453683626584736,239803.57454506552,28911.73577675602,48875.78052773248,71380.93351723564,8.099030787201539,4.446681153193355,1.5410868812379852,0.12939866358337893,62.6,62.6
