Date,Price,Open,High,Low,Change %
1979-12-26,510.69,510.69,513.53,507.37,0.09%
1979-12-27,511.59,511.59,513.96,507.32,0.19%
1979-12-28,510.59,510.59,514.38,507.75,-0.19%
1979-12-31,510.92,510.92,513.76,508.08,0.09%
1980-01-01,510.87,510.87,510.87,510.87,0.00%
1980-01-02,500.88,500.88,513.19,498.52,-1.95%
1980-01-03,498.0,498.0,502.26,489.0,-0.57%
1980-01-04,504.1,504.1,506.94,497.48,1.24%
1980-01-07,505.38,505.38,510.11,500.65,0.28%
1980-01-08,515.27,515.27,517.16,502.97,1.97%
1980-01-09,516.17,516.17,525.63,512.85,0.18%
1980-01-10,519.9,519.9,524.63,513.28,0.73%
1980-01-11,519.85,519.85,526.0,515.12,0.00%
1980-01-14,522.07,522.07,526.8,516.87,0.45%
1980-01-15,525.33,525.33,529.11,517.29,0.63%
1980-01-16,525.28,525.28,533.79,521.97,0.00%
1980-01-17,523.34,523.34,529.49,519.09,-0.36%
1980-01-18,525.18,525.18,528.02,518.56,0.36%
1980-01-21,529.76,529.76,533.54,523.14,0.90%
1980-01-22,526.87,526.87,534.44,524.04,-0.54%
1980-01-23,535.8,535.8,538.16,523.99,1.70%
1980-01-24,537.17,537.17,544.73,533.39,0.26%
1980-01-25,536.65,536.65,540.43,530.98,-0.09%
1980-01-28,542.16,542.16,546.41,533.19,1.06%
1980-01-29,538.81,538.81,546.83,533.61,-0.61%
1980-01-30,543.95,543.95,546.78,535.45,0.96%
1980-01-31,539.18,539.18,553.34,537.29,-0.87%
1980-02-01,543.37,543.37,545.26,533.93,0.79%
1980-02-04,539.92,539.92,547.47,537.09,-0.61%
1980-02-05,541.28,541.28,543.64,529.48,0.26%
1980-02-06,545.95,545.95,550.2,536.51,0.87%
1980-02-07,548.73,548.73,556.28,543.54,0.52%
1980-02-08,556.23,556.23,560.0,545.85,1.38%
1980-02-11,552.3,552.3,561.73,548.52,-0.68%
1980-02-12,556.02,556.02,558.37,546.11,0.68%
1980-02-13,558.32,558.32,566.81,554.55,0.42%
1980-02-14,550.25,550.25,562.51,546.95,-1.44%
1980-02-15,544.07,544.07,550.2,537.94,-1.11%
1980-02-18,543.92,543.92,543.92,543.92,0.00%
1980-02-19,540.1,540.1,545.28,533.97,-0.69%
1980-02-20,549.0,549.0,552.3,537.69,1.66%
1980-02-21,543.29,543.29,555.54,539.05,-1.03%
1980-02-22,541.83,541.83,548.9,534.29,-0.26%
1980-02-25,533.67,533.67,541.21,530.37,-1.48%
1980-02-26,536.92,536.92,540.68,528.91,0.62%
